continent,location,iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Africa,Algeria,DZA,2023-01-07,271254.0,4.0,3.714,6881.0,0.0,0.0,6040.857,0.089,0.083,153.241,0.0,0.0,0.91,1.0,0.022,,,,,,,230553.0,,5.219,,,,,,tests performed,15267442.0,7840131.0,6481186.0,575651.0,147230.0,628.0,34.0,17.46,14.43,1.28,14.0,0.0,0.0,0.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228.0,49888.7,26.86,29.47,1111.02702905902
Africa,Angola,AGO,2023-01-07,105095.0,0.0,0.0,1930.0,0.0,0.0,2953.02,0.0,0.0,54.23,0.0,0.0,0.13,,,,,,,,,1618566.0,1459.0,46.91,0.042,1013.0,0.029,0.033,30.3,tests performed,23701049.0,14990131.0,8253873.0,1457126.0,,16636.0,66.6,42.12,23.19,4.09,467.0,7306.0,0.021,17.02,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
Africa,Benin,BEN,2023-01-07,27982.0,0.0,0.0,163.0,0.0,0.0,2095.58,0.0,0.0,12.207,0.0,0.0,0.05,,,,,,,,,604310.0,,46.496,,,,,,tests performed,4232541.0,3697190.0,2742837.0,,,12809.0,31.7,27.69,20.54,,959.0,11614.0,0.087,5.56,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864.0,,,,
Africa,Botswana,BWA,2023-01-07,328071.0,211.0,80.0,2794.0,82.0,11.714,124727.598,80.219,30.415,1062.236,31.175,4.454,0.18,,,,,,,,,2285160.0,2647.0,882.839,1.023,857.0,0.331,0.0483,20.7,tests performed,3121142.0,1687070.0,1426050.0,499421.0,10435.0,1551.0,118.66,64.14,54.22,18.99,590.0,168.0,0.006,0.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
Africa,Burkina Faso,BFA,2023-01-07,22006.0,0.0,0.0,395.0,0.0,0.0,970.549,0.0,0.0,17.421,0.0,0.0,-0.0,,,,,,,,,324773.0,41.0,14.695,0.002,291.0,0.013,0.0,624.3,tests performed,5117982.0,4366726.0,3335753.0,,,18702.0,22.57,19.26,14.71,,825.0,22992.0,0.101,8.33,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764.0,,,,
Africa,Burundi,BDI,2023-01-07,52162.0,111.0,62.857,38.0,0.0,0.0,4046.834,8.612,4.877,2.948,0.0,0.0,0.11,,,,,,,,,1611285.0,3281.0,128.377,0.261,1061.0,0.085,0.0236,42.4,tests performed,30480.0,28541.0,27957.0,283.0,93.0,69.0,0.24,0.22,0.22,0.0,5.0,69.0,0.001,13.89,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583.0,,,,
Africa,Cameroon,CMR,2023-01-07,123993.0,0.0,0.0,1965.0,0.0,0.0,4441.878,0.0,0.0,70.393,0.0,0.0,0.06,,,,,,,,,2731181.0,,100.416,,608.0,0.022,0.0,33.7,tests performed,3998508.0,3651727.0,3110433.0,451810.0,9890.0,30670.0,14.32,13.08,11.14,1.62,1099.0,29945.0,0.107,8.33,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542.0,,,,
Africa,Cape Verde,CPV,2023-01-07,63207.0,0.0,1.0,412.0,0.0,0.0,106559.422,0.0,1.686,694.583,0.0,0.0,0.47,,,,,,,,,,904.0,,1.538,324.0,0.551,0.1168,8.6,tests performed,859940.0,356734.0,308720.0,749.0,4461.0,295.0,144.98,60.14,52.05,0.13,497.0,27.0,0.005,11.11,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,188.6,6.81,13.94,317.956983083879
Africa,Central African Republic,CAF,2023-01-07,15351.0,0.0,0.0,113.0,0.0,0.0,2751.495,0.0,0.0,20.254,0.0,0.0,0.04,,,,,,,,,94759.0,,17.364,,142.0,0.026,0.0,1.8,tests performed,2354281.0,1984791.0,1934575.0,214090.0,12887.0,25469.0,42.2,35.58,34.68,3.84,4565.0,1605.0,0.029,8.33,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148.0,,,,
Africa,Chad,TCD,2023-01-07,7651.0,0.0,0.143,194.0,0.0,0.0,431.691,0.0,0.008,10.946,0.0,0.0,0.32,,,,,,,,,218873.0,,12.74,,129.0,0.008,0.0044,225.9,tests performed,3891785.0,3750058.0,3625087.0,,,143.0,21.96,21.16,20.45,,8.0,25.0,0.0,13.89,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312.0,,,,
